Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
brain,grey,BS,IB,TH,DORsm,VENT,VAL,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl5,
brain,grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-sg,
brain,fiber tracts,cm,VIIIn,cVIIIn,cic,,,,
brain,grey,BS,MB,MBmot,PRT,NPC,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU6a,,
brain,grey,CH,CTX,CTXpl,OLF,COA,COAa,,
brain,grey,BS,HB,MY,MY-sen,NTB,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp5,
brain,grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6b,
brain,grey,BS,HB,MY,MY-sen,NTS,,,
brain,grey,BS,HB,MY,MY-mot,VI,,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n4
brain,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApl,
brain,grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs1,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m2/3
brain,fiber tracts,cm,VIIIn,cVIIIn,ll,,,,
brain,grey,BS,HB,MY,MY-mot,VII,,,
brain,grey,CH,CTX,CTXpl,Isocortex,GU,GU6b,,
brain,grey,CH,CTX,CTXpl,OLF,COA,COAp,COApm,
brain,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm3
brain,fiber tracts,cm,In,lotg,lot,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,FRP,FRP2/3,,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-tr,SSp-tr2/3
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl1,
brain,grey,CH,CNU,STR,STRd,CP,,,
brain,fiber tracts,mfbs,mfsbshy,mfbsma,mp,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6a,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd4,
brain,grey,BS,HB,P,P-sat,CS,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6b,
brain,fiber tracts,mfbs,mfsbshy,mfbsma,mtg,,,,
brain,grey,BS,IB,TH,DORsm,VENT,VM,,
brain,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv5,
brain,grey,BS,IB,HY,PVR,VLPO,,,
brain,fiber tracts,mfbs,mfsbshy,mfbsma,mtt,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,PERI,PERI5,,
brain,grey,BS,IB,HY,MEZ,VMH,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv2/3,
brain,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo1,
brain,fiber tracts,cm,drt,cett,ml,,,,
brain,grey,CH,CTX,CTXpl,OLF,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6b,
brain,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n5
brain,grey,CH,CTX,CTXsp,,,,,
brain,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv1,
brain,grey,BS,MB,MBmot,PRT,OP,,,
brain,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA1,,
brain,grey,BS,HB,MY,MY-sen,DCN,CU,,
