Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
fiber tracts,mfbs,mfbc,fxs,alv,,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm6b,
grey,BS,IB,HY,LZ,STN,,,
grey,CH,CNU,STR,,,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6a
fiber tracts,cm,VIIIn,cVIIIn,bic,,,,
grey,BS,IB,TH,DORpm,EPI,MH,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm1,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl6b,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm4,
grey,CH,CTX,CTXpl,HPF,RHP,SUB,,
fiber tracts,cm,VIIIn,cVIIIn,das,,,,
grey,CH,CTX,CTXpl,OLF,MOB,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ll,SSp-ll6b
grey,CB,,,,,,,
grey,BS,IB,HY,MEZ,MPN,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6a,
grey,BS,IB,HY,PVR,MPO,,,
grey,BS,IB,HY,MEZ,MBO,SUM,,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm1
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd1,
fiber tracts,mfbs,mfbc,fxs,df,,,,
grey,BS,MB,MBmot,PRT,MPT,,,
grey,BS,HB,P,P-mot,SUT,,,
fiber tracts,cm,In,lotg,lotd,,,,
grey,CH,CTX,CTXpl,Isocortex,PERI,PERI1,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv1,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm2
grey,CH,CNU,STR,sAMY,CEA,CEAc,,
grey,BS,IB,TH,,,,,
grey,CH,CNU,STR,sAMY,CEA,CEAl,,
fiber tracts,cbf,cbp,icp,sctd,,,,
grey,CH,CTX,CTXpl,Isocortex,ILA,ILA2/3,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n1
grey,CH,CNU,STR,sAMY,CEA,CEAm,,
grey,CH,CNU,PAL,PALm,MSC,MS,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm5,
grey,CH,CTX,CTXpl,OLF,TR,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl4,
grey,BS,HB,P,P-mot,TRN,,,
grey,BS,IB,TH,DORpm,ILM,CL,,
grey,BS,HB,MY,MY-mot,ACVII,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul4
fiber tracts,lfbs,cc,fa,ec,,,,
grey,BS,MB,MBsen,NB,,,,
grey,CH,CNU,PAL,PALm,TRS,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm2/3,
grey,CH,CTX,CTXsp,CLA,,,,
grey,BS,MB,MBmot,PAG,ND,,,
grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv1,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6a,
grey,BS,MB,MBsta,RAmb,CLI,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp1,
fiber tracts,mfbs,mfsbshy,mfbse,fr,,,,
grey,CH,CNU,PAL,PALm,MSC,NDB,,
grey,CH,CTX,CTXpl,OLF,TT,TTd,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv6b,
grey,BS,IB,TH,DORpm,ILM,CM,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDd,AUDd2/3,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6a,
fiber tracts,mfbs,mfbc,fxs,fi,,,,
grey,BS,HB,P,P-sat,NI,,,
grey,CH,CTX,CTXpl,OLF,TT,TTv,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBvl,ORBvl6a,
grey,BS,IB,TH,DORsm,SPA,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPd,RSPd5,
fiber tracts,mfbs,mfsbshy,mfbse,hbc,,,,
grey,BS,HB,P,P-sen,NLL,,,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISl,VISl5,
grey,BS,IB,HY,LZ,TU,,,
grey,BS,MB,MBmot,CUN,,,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBm,ORBm5,
grey,BS,HB,P,P-mot,V,,,
grey,CH,CTX,CTXpl,Isocortex,RSP,RSPv,RSPv6b,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-ul,SSp-ul5
grey,BS,MB,MBmot,PRT,NOT,,,
grey,BS,IB,TH,DORsm,VENT,VAL,,
grey,CH,CTX,CTXpl,Isocortex,ORB,ORBl,ORBl5,
grey,CH,CTX,CTXpl,HPF,HIP,DG,DG-sg,
fiber tracts,cm,VIIIn,cVIIIn,cic,,,,
grey,BS,MB,MBmot,PRT,NPC,,,
grey,CH,CTX,CTXpl,Isocortex,GU,GU6a,,
grey,CH,CTX,CTXpl,OLF,COA,COAa,,
grey,BS,HB,MY,MY-sen,NTB,,,
grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo2/3,
grey,CH,CTX,CTXpl,Isocortex,MO,MOp,MOp5,
grey,CH,CTX,CTXpl,Isocortex,VIS,VISal,VISal6b,
grey,BS,HB,MY,MY-sen,NTS,,,
grey,BS,HB,MY,MY-mot,VI,,,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n4
grey,CH,CTX,CTXpl,OLF,COA,COAp,COApl,
grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs1,
grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-m,SSp-m2/3
fiber tracts,cm,VIIIn,cVIIIn,ll,,,,
grey,BS,HB,MY,MY-mot,VII,,,
grey,CH,CTX,CTXpl,Isocortex,GU,GU6b,,
grey,CH,CTX,CTXpl,OLF,COA,COAp,COApm,
grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm3
fiber tracts,cm,In,lotg,lot,,,,
