Depth_0,Depth_1,Depth_2,Depth_3,Depth_4,Depth_5,Depth_6,Depth_7,Depth_8,Depth_9
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv6b,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n5
root,grey,CH,CTX,CTXsp,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv1,
root,grey,BS,MB,MBmot,PRT,OP,,,
root,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA1,,
root,grey,BS,HB,MY,MY-sen,DCN,CU,,
root,grey,BS,IB,TH,DORsm,VENT,VP,VPL,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp4,
root,grey,BS,IB,TH,DORsm,VENT,VP,VPLpc,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm5
root,fiber tracts,cbf,arb,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6a,,
root,grey,BS,IB,HY,MEZ,MBO,MM,Mmme,
root,grey,BS,IB,TH,DORsm,VENT,VP,VPM,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp1,
root,grey,BS,IB,TH,DORsm,VENT,VP,VPMpc,
root,grey,CH,CTX,CTXpl,HPF,RHP,ENT,ENTm,ENTm6
root,fiber tracts,cbf,cbc,,,,,,
root,grey,BS,MB,MBmot,VTA,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpl,VISpl1,
root,fiber tracts,mfbs,mfsbshy,mfbsma,pm,,,,
root,grey,CH,CNU,STR,STRv,OT,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDv,AUDv2/3,
root,grey,BS,MB,MBmot,VTN,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo4,
root,grey,BS,IB,HY,PVR,OV,,,
root,grey,BS,HB,MY,MY-mot,x,,,
root,grey,CH,CTX,CTXpl,Isocortex,MO,MOs,MOs5,
root,grey,BS,HB,P,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv5,
root,grey,BS,HB,MY,MY-mot,XII,,,
root,grey,CH,CTX,CTXpl,Isocortex,RSP,RSPagl,RSPagl5,
root,fiber tracts,lfbs,cc,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp5,
root,grey,CH,CTX,CTXsp,PA,,,,
root,grey,BS,HB,MY,MY-mot,y,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6a,
root,fiber tracts,lfbs,cst,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,TEa,TEa6b,,
root,grey,CH,CTX,CTXpl,OLF,PAA,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDpo,AUDpo5,
root,fiber tracts,cm,Vn,sV,sptV,,,,
root,grey,BS,MB,MBmot,PAG,,,,
root,grey,BS,IB,HY,LZ,ZI,,,
root,fiber tracts,cm,VIIn,,,,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AIv,AIv5,
root,fiber tracts,mfbs,mfsbshy,mfbse,sm,,,,
root,grey,CH,CNU,PAL,,,,,
root,grey,BS,IB,HY,LZ,ZI,FF,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISpm,VISpm1,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSs,SSs2/3,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6a,
root,grey,BS,MB,MBsen,IC,ICc,,,
root,fiber tracts,cbf,cbp,scp,dscp,,,,
root,grey,CH,CTX,CTXpl,OLF,DP,,,
root,grey,CH,CTX,CTXpl,Isocortex,AUD,AUDp,AUDp4,
root,grey,CH,CTX,CTXpl,Isocortex,ACA,ACAv,ACAv6b,
root,grey,BS,MB,MBsen,IC,ICd,,,
root,grey,CH,CTX,CTXpl,Isocortex,VIS,VISp,VISp2/3,
root,grey,CH,CTX,CTXpl,Isocortex,ILA,ILA5,,
root,grey,BS,MB,MBsen,IC,ICe,,,
root,grey,BS,IB,HY,PVR,DMH,,,
root,grey,CH,CTX,CTXpl,Isocortex,AI,AId,AId6b,
root,fiber tracts,cm,IIIn,,,,,,
root,grey,BS,MB,MBsen,SCs,SCzo,,,
root,grey,CH,CTX,CTXpl,Isocortex,ECT,ECT1,,
root,grey,CH,CTX,CTXpl,Isocortex,SS,SSp,SSp-n,SSp-n2/3
root,grey,BS,HB,MY,MY-mot,DMX,,,
root,fiber tracts,cm,VIIIn,cVIIIn,tb,,,,
root,grey,BS,MB,MBsen,SCs,SCsg,,,
